species_id,n_p_genes,n_m_genes,total_pairs,n_same_contig,pct_same_contig,median_dist,min_dist,mean_dist
s__40CM-2-53-6_sp001915065--GB_GCA_001915065.1,1,4,4,0,0.0,,,
s__40CM-2-53-6_sp001918745--GB_GCA_001918745.1,1,3,3,0,0.0,,,
s__40CM-2-53-6_sp005882905--GB_GCA_005882905.1,1,1,1,0,0.0,,,
s__40CM-2-70-7_sp003222205--GB_GCA_003222205.1,5,1,5,0,0.0,,,
s__40CM-3-55-5_sp001918935--GB_GCA_001918935.1,4,1,4,0,0.0,,,
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1,3,1,3,0,0.0,,,
s__40CM-4-65-16_sp005883575--GB_GCA_005883575.1,4,4,16,0,0.0,,,
s__40CM-4-65-16_sp005889135--GB_GCA_005889135.1,4,2,8,0,0.0,,,
s__40CM-4-68-19_sp001918155--GB_GCA_001918155.1,3,1,3,0,0.0,,,
s__40CM-4-68-19_sp005879505--GB_GCA_005879505.1,5,1,5,0,0.0,,,
s__40CM-4-68-19_sp005879535--GB_GCA_005879535.1,4,2,8,0,0.0,,,
s__40CM-4-68-19_sp005879805--GB_GCA_005879805.1,2,1,2,0,0.0,,,
s__40CM-4-69-5_sp001917535--GB_GCA_001917535.1,2,2,4,0,0.0,,,
s__40CM-68-15_sp003220615--GB_GCA_003220615.1,4,3,12,0,0.0,,,
s__41T-STBD-0c-01a_sp020445255--GB_GCA_020445255.1,3,2,6,0,0.0,,,
s__41T-STBD-0c-01a_sp024235395--GB_GCA_024235395.1,3,4,12,6,50.0,454.5,144.0,454.5
s__4572-104_sp016935815--GB_GCA_016935815.1,1,3,3,0,0.0,,,
s__46-47_sp003644575--GB_GCA_021157965.1,1,2,2,0,0.0,,,
s__67-14_sp020636955--GB_GCA_020636955.1,5,2,10,0,0.0,,,
s__AA32_sp003223555--GB_GCA_003223555.1,4,2,8,0,0.0,,,
s__AC-37_sp005885165--GB_GCA_005885165.1,1,3,3,0,0.0,,,
s__AC-51_sp005883885--GB_GCA_005883885.1,2,1,2,0,0.0,,,
s__AC-51_sp005885035--GB_GCA_005885035.1,3,1,3,2,66.7,12.5,12.0,12.5
s__AC-69_sp005885325--GB_GCA_005885325.1,4,2,8,3,37.5,13.0,12.0,13.0
s__AG-12_sp013044295--GB_GCA_013044295.1,2,1,2,0,0.0,,,
s__AG-12_sp021791345--GB_GCA_021791345.1,1,4,4,0,0.0,,,
s__AG-12_sp021802115--GB_GCA_021802115.1,3,3,9,0,0.0,,,
s__AG11_sp013361335--GB_GCA_013361335.1,6,2,12,0,0.0,,,
s__AG41_sp003221045--GB_GCA_003221045.1,5,1,5,0,0.0,,,
s__AG41_sp003222035--GB_GCA_003222035.1,5,2,10,0,0.0,,,
s__ANME1a_sp003194425--GB_GCA_003194425.1,3,3,9,6,66.7,173.5,154.0,172.3
s__AP-15_sp005888425--GB_GCA_005888425.1,4,1,4,0,0.0,,,
s__AP-16_sp005884745--GB_GCA_005884745.1,4,1,4,0,0.0,,,
s__AR12_sp003220225--GB_GCA_003220225.1,5,2,10,0,0.0,,,
s__AR12_sp003220335--GB_GCA_003220335.1,7,2,14,0,0.0,,,
s__AR12_sp003220475--GB_GCA_003220475.1,5,2,10,0,0.0,,,
s__AR19_sp003220595--GB_GCA_003220595.1,6,1,6,0,0.0,,,
s__AR31_sp003221515--GB_GCA_003221515.1,3,3,9,0,0.0,,,
s__ARK-15_sp009758405--GB_GCA_009758405.1,2,4,8,4,50.0,110.5,69.0,110.5
s__AV69_sp003219175--GB_GCA_003219175.1,3,1,3,0,0.0,,,
s__AV80_sp003134765--GB_GCA_003134765.1,3,1,3,0,0.0,,,
s__AV80_sp003134785--GB_GCA_003134785.1,3,1,3,0,0.0,,,
s__AV80_sp003167555--GB_GCA_003167555.1,3,1,3,1,33.3,137.0,137.0,137.0
s__AV80_sp003169695--GB_GCA_003169695.1,7,1,7,0,0.0,,,
s__Accumulibacter_sp014879755--GB_GCA_024235695.1,4,3,12,0,0.0,,,
s__Accumulibacter_sp024235715--GB_GCA_024235715.1,9,6,54,4,7.4,18.5,17.0,18.5
s__Acetatifactor_sp945485625--GB_GCA_945485625.1,1,1,1,0,0.0,,,
s__Acetobacterium_dehalogenans--RS_GCF_000472665.1,5,3,15,3,20.0,41.0,40.0,41.0
s__Acetobacterium_paludosum--RS_GCF_008086595.1,6,2,12,6,50.0,27.5,24.0,27.5
s__Acetobacterium_tundrae--RS_GCF_008086615.1,6,2,12,0,0.0,,,
s__Acholeplasma_laidlawii--RS_GCF_000018785.1,4,1,4,4,100.0,154.5,153.0,154.5
s__Achromobacter_aegrifaciens--RS_GCF_902859735.1,15,2,30,4,13.3,195.5,194.0,195.5
s__Achromobacter_bronchisepticus_A--RS_GCF_014490035.1,18,2,36,36,100.0,726.0,188.0,1153.7
s__Achromobacter_denitrificans--RS_GCF_001571365.1,13,4,52,0,0.0,,,
s__Achromobacter_kerstersii--RS_GCF_902859595.1,11,2,22,0,0.0,,,
s__Achromobacter_marplatensis--RS_GCF_002209535.1,15,2,30,0,0.0,,,
s__Achromobacter_spanius_C--RS_GCF_003994415.1,15,3,45,45,100.0,1974.0,588.0,2345.2
s__Acidibrevibacterium_sp021801255--GB_GCA_021801255.1,4,1,4,0,0.0,,,
s__Acididesulfobacter_diazotrophicus--GB_GCA_004195025.1,3,1,3,0,0.0,,,
s__Acididesulfobacter_guangdongensis--GB_GCA_004195045.1,3,1,3,3,100.0,121.0,120.0,121.3
s__Acididesulfobacter_sp021845685--GB_GCA_021845685.1,3,1,3,0,0.0,,,
s__Acidiferrobacter_sp003184265--RS_GCF_003184265.1,9,1,9,9,100.0,1020.0,233.0,965.6
s__Acidiferrobacter_sp021819125--GB_GCA_021819125.1,4,2,8,0,0.0,,,
s__Acidiferrobacter_sp021819245--GB_GCA_021819245.1,4,1,4,0,0.0,,,
s__Acidiferrobacter_thiooxydans--RS_GCF_003333315.1,7,1,7,5,71.4,202.0,200.0,459.2
s__Acidipila_rosea--RS_GCF_004339725.1,4,2,8,4,50.0,406.5,405.0,452.8
s__Acidisoma_sp009765865--RS_GCF_009765865.1,5,3,15,0,0.0,,,
s__Acidithiobacillus_B_sulfuriphilus--RS_GCF_003721225.1,7,2,14,0,0.0,,,
s__Acidithiobacillus_ferrianus--RS_GCF_010378095.1,7,5,35,0,0.0,,,
s__Acidithiobacillus_ferrooxidans_C--RS_GCF_018854495.1,8,6,48,0,0.0,,,
s__Acidithiobacillus_sp021818125--GB_GCA_021818125.1,12,4,48,0,0.0,,,
s__Acidithrix_sp021818355--GB_GCA_021818355.1,4,1,4,0,0.0,,,
s__Acidithrix_sp021841935--GB_GCA_021841935.1,4,1,4,0,0.0,,,
s__Acidocella_sp003137135--GB_GCA_003137135.1,3,5,15,0,0.0,,,
s__Acidocella_sp003164135--GB_GCA_003164135.1,4,3,12,0,0.0,,,
s__Acidocella_sp021808985--GB_GCA_021808985.1,4,1,4,0,0.0,,,
s__Acidoferrum_sp001917435--GB_GCA_001917435.1,5,1,5,0,0.0,,,
s__Acidoferrum_sp001919715--GB_GCA_001919715.1,4,1,4,0,0.0,,,
s__Acidoferrum_sp003154775--GB_GCA_003154775.1,2,1,2,0,0.0,,,
s__Acidoferrum_sp003223215--GB_GCA_003223215.1,4,1,4,0,0.0,,,
s__Acidoferrum_sp003225295--GB_GCA_003225295.1,3,1,3,0,0.0,,,
s__Acidothermus_sp023512015--GB_GCA_023512015.1,4,2,8,0,0.0,,,
s__Acidovorax_A_avenae--RS_GCF_000176855.2,4,3,12,12,100.0,2179.5,1920.0,2209.2
s__Acidovorax_A_oryzae--RS_GCF_000687165.1,4,3,12,0,0.0,,,
s__Acidovorax_A_sp913774625--GB_GCA_913774625.1,4,3,12,0,0.0,,,
s__Acidovorax_A_sp913774955--GB_GCA_913774955.1,4,3,12,0,0.0,,,
s__Acidovorax_A_wautersii--RS_GCF_900113035.1,4,5,20,0,0.0,,,
s__Acidovorax_F_monticola--RS_GCF_014489595.1,5,5,25,25,100.0,1702.0,524.0,1790.3
s__Acidovorax_carolinensis--RS_GCF_002157145.1,15,6,90,90,100.0,1173.5,19.0,1450.2
s__Acidovorax_delafieldii--RS_GCF_007993815.1,8,3,24,6,25.0,571.0,385.0,571.0
s__Acidovorax_radicis--RS_GCF_000204195.1,5,3,15,0,0.0,,,
s__Acidovorax_sp001424425--RS_GCF_001424425.1,4,5,20,0,0.0,,,
s__Acidovorax_sp001428665--RS_GCF_001428665.1,6,5,30,0,0.0,,,
s__Acidovorax_sp001464865--GB_GCA_001464865.1,9,3,27,0,0.0,,,
s__Acidovorax_sp003058055--RS_GCF_003058055.1,8,3,24,24,100.0,762.0,392.0,893.7
s__Acidovorax_sp019218755--RS_GCF_019218755.1,10,4,40,0,0.0,,,
s__Acidulodesulfobacterium_A_acidiphilum--GB_GCA_008534395.1,3,2,6,0,0.0,,,
s__Acidulodesulfobacterium_A_sp021781285--GB_GCA_021781285.1,2,1,2,0,0.0,,,
s__Acidulodesulfobacterium_A_sp021813525--GB_GCA_021813525.1,3,3,9,0,0.0,,,
s__Acidulodesulfobacterium_A_sp021822485--GB_GCA_021822485.1,3,1,3,0,0.0,,,
s__Acidulodesulfobacterium_ferriphilum--GB_GCA_004195035.1,4,2,8,2,25.0,695.5,624.0,695.5
s__Acidulodesulfobacterium_sp023489335--GB_GCA_023489335.1,4,3,12,0,0.0,,,
s__Acinetobacter_calcoaceticus_C--RS_GCF_900520355.1,4,3,12,12,100.0,1449.5,566.0,1439.2
s__Acinetobacter_halotolerans--RS_GCF_004208515.1,3,2,6,0,0.0,,,
s__Acinetobacter_kanungonis--RS_GCF_009939195.1,5,2,10,0,0.0,,,
s__Acinetobacter_kookii--RS_GCF_900096895.1,3,3,9,0,0.0,,,
s__Acinetobacter_kyonggiensis--RS_GCF_900107285.1,3,3,9,0,0.0,,,
s__Acinetobacter_qingfengensis--RS_GCF_008693185.1,4,1,4,3,75.0,14.0,13.0,14.0
s__Acinetobacter_soli--RS_GCF_000760595.1,3,4,12,0,0.0,,,
s__Acinetobacter_sp002135315--RS_GCF_002135315.1,3,3,9,0,0.0,,,
s__Acinetobacter_sp002455755--GB_GCA_002455755.1,3,4,12,0,0.0,,,
s__Acinetobacter_sp004331075--RS_GCF_004331075.1,8,3,24,4,16.7,97.5,96.0,101.0
s__Acinetobacter_sp004336635--RS_GCF_004336635.1,3,3,9,0,0.0,,,
s__Acinetobacter_terrae--RS_GCF_013004375.1,3,3,9,0,0.0,,,
s__Acinetobacter_vivianii--RS_GCF_014635885.1,4,3,12,1,8.3,62.0,62.0,62.0
s__Actinoallomurus_sp024055715--RS_GCF_024055715.1,4,4,16,0,0.0,,,
s__Actinoalloteichus_cyanogriseus--RS_GCF_000429185.2,6,2,12,12,100.0,1193.5,216.0,1540.0
s__Actinoalloteichus_hoggarensis--RS_GCF_002234535.1,6,4,24,24,100.0,3112.0,353.0,2879.1
s__Actinocatenispora_sera--RS_GCF_018324685.1,4,3,12,12,100.0,771.5,443.0,847.8
s__Actinoplanes_caeruleus--RS_GCF_003751945.1,4,5,20,20,100.0,825.5,459.0,1454.5
s__Actinoplanes_sp019710575--RS_GCF_019710575.1,10,7,70,0,0.0,,,
s__Actinoplanes_sp900119315--RS_GCF_900119315.1,11,4,44,44,100.0,2452.5,79.0,2736.2
s__Actinoplanes_teichomyceticus--RS_GCF_003711105.1,7,3,21,21,100.0,1832.0,302.0,2201.1
s__Actinoplanes_utahensis--RS_GCF_016862455.1,6,7,42,0,0.0,,,
s__Actinosynnema_auranticum--RS_GCF_002354875.1,5,4,20,20,100.0,3002.5,38.0,3001.6
s__Actinosynnema_carneum--RS_GCF_003014735.1,7,1,7,0,0.0,,,
s__Actinosynnema_syringae--RS_GCF_009498035.1,5,3,15,15,100.0,5618.0,736.0,5364.7
s__Actinotalea_carbonis--RS_GCF_014636275.1,5,5,25,5,20.0,606.0,604.0,606.0
s__Advenella_incenata--RS_GCF_004217095.1,7,2,14,0,0.0,,,
s__Aegiribacteria_sp016936235--GB_GCA_016936235.1,2,1,2,0,0.0,,,
s__Aequorivita_iocasae--RS_GCF_016757735.1,1,3,3,3,100.0,953.0,173.0,1032.3
s__Aequorivita_sinensis--RS_GCF_006346335.1,1,2,2,0,0.0,,,
s__Aequorivita_sp020435825--GB_GCA_020435825.1,1,2,2,0,0.0,,,
s__Aeribacillus_composti--RS_GCF_007827555.1,9,3,27,0,0.0,,,
s__Aeromicrobium_piscarium--RS_GCF_007421815.1,8,3,24,0,0.0,,,
s__Aeromicrobium_sp001423335--RS_GCF_942548115.1,4,2,8,8,100.0,2047.5,1172.0,2047.5
s__Aeromonas_encheleia--RS_GCF_900637545.1,8,2,16,16,100.0,1454.5,7.0,1546.1
s__Aerophototrophica_crusticola--GB_GCA_001939945.1,5,4,20,3,15.0,15.0,14.0,15.0
s__Aestuariivirga_sp020029455--GB_GCA_020029455.1,2,1,2,0,0.0,,,
s__Aestuariivirga_sp902826365--GB_GCA_902826365.1,2,4,8,0,0.0,,,
s__Aestuariivivens_sediminicola--RS_GCF_022662015.1,2,3,6,1,16.7,21.0,21.0,21.0
s__Aestuariivivens_sediminis--RS_GCF_022662105.1,1,2,2,1,50.0,383.0,383.0,383.0
s__Agreia_bicolorata--RS_GCF_000938265.1,8,2,16,0,0.0,,,
s__Agreia_sp001421485--RS_GCF_001421485.1,7,2,14,0,0.0,,,
s__Agreia_sp001422485--RS_GCF_001422485.1,9,2,18,0,0.0,,,
s__Agrilactobacillus_composti--RS_GCF_001436375.1,7,3,21,0,0.0,,,
s__Agrobacterium_bohemicum--RS_GCF_002896715.1,8,3,24,3,12.5,210.0,209.0,210.0
s__Agrobacterium_cavarae--RS_GCF_004310285.1,8,2,16,0,0.0,,,
s__Agrobacterium_fabacearum--RS_GCF_009649785.1,8,2,16,0,0.0,,,
s__Agrobacterium_larrymoorei--RS_GCF_005145045.1,10,3,30,20,66.7,1384.5,290.0,1293.1
s__Agrobacterium_oryzihabitans--RS_GCF_010669145.1,9,5,45,36,80.0,687.5,279.0,718.8
s__Agrobacterium_salinitolerans--RS_GCF_002008225.1,9,3,27,3,11.1,730.0,535.0,671.3
s__Agrobacterium_sp900012615--GB_GCA_900012615.1,9,3,27,27,100.0,511.0,269.0,496.4
s__Agrobacterium_sp900468285--GB_GCA_900468285.1,4,4,16,0,0.0,,,
s__Agrobacterium_sp900473205--GB_GCA_900473205.1,9,3,27,3,11.1,108.0,107.0,108.0
s__Agrobacterium_sp913777615--GB_GCA_913777615.1,7,3,21,0,0.0,,,
s__Agrobacterium_tumefaciens--RS_GCF_001541315.1,9,4,36,16,44.4,377.0,244.0,377.0
s__Agrococcus_sediminis--RS_GCF_007923295.1,3,3,9,6,66.7,185.5,59.0,185.5
s__Agromyces_B_atrinae--RS_GCF_013407835.1,5,2,10,10,100.0,1065.0,217.0,1222.8
s__Agromyces_aureus--RS_GCF_001660485.1,9,3,27,27,100.0,2369.0,4.0,1642.7
s__Agromyces_fucosus--RS_GCF_004134865.1,5,3,15,5,33.3,644.0,44.0,404.8
s__Agromyces_sp001620055--RS_GCF_001620055.1,3,4,12,0,0.0,,,
s__Albidovulum_sp020446815--GB_GCA_020446815.1,6,3,18,0,0.0,,,
s__Albidovulum_sp020637635--GB_GCA_020637635.1,3,2,6,0,0.0,,,
s__Albidovulum_sp020637675--GB_GCA_020637675.1,3,2,6,6,100.0,847.0,666.0,847.0
s__Albidovulum_sp024236495--GB_GCA_024236495.1,6,1,6,0,0.0,,,
s__Albitalea_sp005882155--GB_GCA_005882155.1,5,3,15,0,0.0,,,
s__Albitalea_sp021153565--GB_GCA_021153565.1,5,4,20,0,0.0,,,
s__Alcaligenes_ammonioxydans--RS_GCF_019343455.1,6,2,12,12,100.0,722.5,98.0,651.8
s__Algoriphagus_alkaliphilus--RS_GCF_900103735.1,1,1,1,0,0.0,,,
s__Algoriphagus_aquaeductus--RS_GCF_003253485.1,2,1,2,0,0.0,,,
s__Alicyclobacillus_acidoterrestris--RS_GCF_022674245.1,4,4,16,16,100.0,1039.0,9.0,916.5
s__Aliiroseovarius_zhejiangensis--RS_GCF_014656375.1,6,1,6,0,0.0,,,
s__Alishewanella_aestuarii--RS_GCF_000280055.1,6,2,12,1,8.3,42.0,42.0,42.0
s__Alkalihalophilus_pseudofirmus--RS_GCF_000005825.2,14,1,14,14,100.0,836.5,248.0,690.6
s__Alkalilimnicola_mobilis--RS_GCF_003664325.1,4,2,8,4,50.0,436.0,319.0,436.0
s__Alkalispirochaeta_sp007130865--GB_GCA_007130865.1,6,3,18,0,0.0,,,
s__Allokutzneria_albata--RS_GCF_900103775.1,4,3,12,12,100.0,848.5,565.0,1285.8
s__Alloprevotella_sp944322095--GB_GCA_944322095.1,3,1,3,0,0.0,,,
s__Allorhizobium_cremeum--RS_GCF_022884085.1,10,3,30,0,0.0,,,
s__Allorhizobium_ferrooxidans--RS_GCF_004137355.1,8,4,32,8,25.0,158.5,66.0,158.5
s__Allorhizobium_sp017599385--RS_GCF_017599385.1,10,2,20,20,100.0,780.0,503.0,782.3
s__Allorhizobium_sp022953395--RS_GCF_022953395.1,11,2,22,7,31.8,440.0,99.0,295.1
s__Allorhizobium_sp024055605--RS_GCF_024055605.1,8,2,16,0,0.0,,,
s__Allorhizobium_sp900466005--GB_GCA_900466005.1,7,4,28,14,50.0,271.5,65.0,299.8
s__Allorhizobium_sp900466945--GB_GCA_900466945.1,5,3,15,0,0.0,,,
s__Allorhizobium_terrae--RS_GCF_004801395.1,11,2,22,3,13.6,299.0,298.0,299.0
s__Alteribacter_keqinensis--RS_GCF_003710255.1,11,1,11,0,0.0,,,
s__Alteribacter_populi--RS_GCF_002352765.1,8,1,8,8,100.0,1172.5,340.0,1117.2
s__Amaricoccus_sp003258405--GB_GCA_003258405.1,5,2,10,0,0.0,,,
s__Amaricoccus_sp020637615--GB_GCA_020637615.1,4,1,4,0,0.0,,,
s__Ameyamaea_chiangmaiensis--RS_GCF_013376175.1,4,3,12,0,0.0,,,
s__Aminicella_lysinilytica--RS_GCF_004362975.1,3,1,3,0,0.0,,,
s__Aminobacter_aganoensis--RS_GCF_014206975.1,11,6,66,0,0.0,,,
s__Aminobacter_aminovorans--RS_GCF_900445235.1,9,5,45,45,100.0,1338.0,56.0,1357.3
s__Aminobacter_ciceronei--RS_GCF_014138625.1,11,6,66,5,7.6,57.0,55.0,61.8
s__Aminobacter_niigataensis--RS_GCF_014200015.1,8,5,40,4,10.0,60.5,59.0,60.5
s__Aminobacterium_mobile--RS_GCF_000526395.1,5,1,5,5,100.0,463.0,461.0,525.4
s__Amycolatopsis_acidiphila--RS_GCF_021391495.1,4,5,20,20,100.0,5368.5,3997.0,5858.5
s__Amycolatopsis_alba--RS_GCF_000384215.1,9,3,27,27,100.0,1512.0,247.0,2180.0
s__Amycolatopsis_azurea--RS_GCF_001995215.1,9,2,18,0,0.0,,,
s__Amycolatopsis_balhimycina--RS_GCF_000384295.1,7,4,28,28,100.0,1708.0,61.0,1958.2
s__Amycolatopsis_bartoniae--RS_GCF_014191255.1,4,4,16,4,25.0,371.5,370.0,371.5
s__Amycolatopsis_dendrobii--RS_GCF_014145675.1,9,4,36,1,2.8,167.0,167.0,167.0
s__Amycolatopsis_eburnea--RS_GCF_003937945.1,3,4,12,0,0.0,,,
s__Amycolatopsis_echigonensis--RS_GCF_014174495.1,5,3,15,0,0.0,,,
s__Amycolatopsis_japonica--RS_GCF_000732925.1,8,2,16,16,100.0,2115.0,705.0,2569.4
s__Amycolatopsis_keratiniphila--RS_GCF_001620365.2,8,2,16,0,0.0,,,
s__Amycolatopsis_lurida--RS_GCF_900105055.1,8,2,16,8,50.0,1556.5,703.0,1549.9
s__Amycolatopsis_mediterranei--RS_GCF_000220945.1,14,5,70,70,100.0,2179.0,478.0,2789.6
s__Amycolatopsis_methanolica--RS_GCF_000739085.1,4,3,12,12,100.0,6174.5,4159.0,5731.2
s__Amycolatopsis_nivea--RS_GCF_004522235.1,7,3,21,0,0.0,,,
s__Amycolatopsis_orientalis--RS_GCF_000478275.1,5,3,15,1,6.7,109.0,109.0,109.0
s__Amycolatopsis_regifaucium--RS_GCF_001613935.1,5,1,5,0,0.0,,,
s__Amycolatopsis_roodepoortensis--RS_GCF_014873915.1,8,3,24,5,20.8,970.0,50.0,737.8
s__Amycolatopsis_sp002796545--RS_GCF_002796545.1,8,3,24,24,100.0,2916.5,144.0,3298.8
s__Amycolatopsis_sulphurea--RS_GCF_002564045.1,7,3,21,21,100.0,1571.0,304.0,2126.9
s__Amycolatopsis_thermalba--RS_GCF_003385215.1,7,3,21,0,0.0,,,
s__Amycolatopsis_tucumanensis--RS_GCF_021654135.1,4,7,28,0,0.0,,,
s__Amycolatopsis_vancoresmycina--RS_GCF_000716785.1,7,3,21,0,0.0,,,
s__Amylolactobacillus_amylophilus--RS_GCF_001936335.1,14,2,28,28,100.0,585.0,213.0,585.0
s__Anaerobacillus_A_hwajinpoensis_B--RS_GCF_015234585.1,8,3,24,8,33.3,891.5,294.0,729.1
s__Anaerobacillus_A_sp002563635--RS_GCF_002563635.1,7,2,14,7,50.0,1139.0,332.0,839.7
s__Anaerobiospirillum_sp944390115--GB_GCA_944390115.1,3,2,6,0,0.0,,,
s__Anaerocolumna_sp002434335--GB_GCA_002434335.1,7,3,21,0,0.0,,,
s__Anaeroferrophillus_wilburensis--GB_GCA_016934315.1,4,3,12,6,50.0,36.5,34.0,61.8
s__Anaeromyxobacter_sp022808855--RS_GCF_022808855.1,4,3,12,0,0.0,,,
s__Anaerotignum_propionicum--RS_GCF_001561955.1,4,1,4,4,100.0,679.5,678.0,679.5
s__Ancylobacter_sp024752355--RS_GCF_024752355.1,9,2,18,7,38.9,119.0,116.0,119.4
s__Aneurinibacillus_danicus--RS_GCF_007991215.1,4,4,16,0,0.0,,,
s__Aneurinibacillus_migulanus--RS_GCF_001274715.1,4,4,16,0,0.0,,,
s__Anoxybacillus_flavithermus--GB_GCA_002243705.1,4,4,16,16,100.0,832.0,342.0,799.5
s__Anoxybacillus_flavithermus_E--RS_GCF_002742685.1,4,2,8,0,0.0,,,
s__Anseongella_ginsenosidimutans--RS_GCF_008033235.1,9,3,27,27,100.0,932.0,204.0,886.4
s__Aquamicrobium_A_sp014860725--GB_GCA_014860725.1,4,2,8,0,0.0,,,
s__Aquisalimonas_sp007126095--GB_GCA_007126095.1,5,3,15,0,0.0,,,
s__Aquisalimonas_sp007127625--GB_GCA_007127625.1,3,1,3,0,0.0,,,
s__Aquitalea_magnusonii--RS_GCF_003202035.1,6,2,12,4,33.3,8.5,7.0,8.5
s__Arachnia_sp001956895--RS_GCF_017815535.1,4,2,8,8,100.0,405.5,335.0,405.5
s__Arachnia_sp014164775--RS_GCF_014164775.1,7,4,28,14,50.0,163.5,14.0,101.9
s__Archangium_gephyra--RS_GCF_001027285.1,10,2,20,20,100.0,2029.5,373.0,2575.4
s__Archangium_violaceum--RS_GCF_000733295.1,8,2,16,0,0.0,,,
s__Arenibacter_amylolyticus--RS_GCF_002150785.1,1,2,2,0,0.0,,,
s__Arenimonas_composti--RS_GCF_000426365.1,4,2,8,0,0.0,,,
s__Arenimonas_maotaiensis--RS_GCF_014638745.1,5,3,15,1,6.7,170.0,170.0,170.0
s__Arenimonas_oryziterrae--RS_GCF_000420545.1,5,3,15,0,0.0,,,
s__Arenimonas_sp001724815--GB_GCA_001724815.1,7,4,28,0,0.0,,,
s__Aromatoleum_tolulyticum--RS_GCF_900156155.1,4,3,12,3,25.0,89.0,88.0,89.0
s__Arthrobacter_B_koreensis--RS_GCF_009193255.1,8,2,16,8,50.0,208.0,79.0,194.1
s__Arthrobacter_D_agilis--RS_GCF_006494655.1,5,2,10,5,50.0,247.0,162.0,230.4
s__Arthrobacter_D_sp000816565--RS_GCF_023100725.1,10,2,20,20,100.0,1250.5,685.0,1601.9
s__Arthrobacter_D_sp002929745--RS_GCF_002929745.1,4,3,12,0,0.0,,,
s__Arthrobacter_F_crystallopoietes--RS_GCF_002849715.1,5,5,25,25,100.0,1258.0,475.0,1421.8
s__Arthrobacter_F_crystallopoietes_B--RS_GCF_017603825.1,6,1,6,6,100.0,442.5,440.0,680.5
s__Arthrobacter_F_sulfonylureivorans--GB_GCA_004000035.1,7,2,14,5,35.7,86.0,20.0,73.2
s__Arthrobacter_K_terricola--RS_GCF_004354015.1,5,2,10,0,0.0,,,
s__Arthrobacter_luteus_A--RS_GCF_014764445.1,6,2,12,12,100.0,2348.5,387.0,2362.5
s__Arthrobacter_nitrophenolicus--RS_GCF_000332815.1,5,2,10,0,0.0,,,
s__Arthrobacter_oryzae_A--RS_GCF_019443425.1,4,3,12,12,100.0,1097.5,264.0,924.5
s__Arthrobacter_oxydans--RS_GCF_013314975.1,6,3,18,0,0.0,,,
s__Arthrobacter_phenanthrenivorans--RS_GCF_000189535.1,4,2,8,8,100.0,2916.5,2307.0,2916.5
s__Arthrobacter_sp000374865--RS_GCF_000374865.1,4,3,12,0,0.0,,,
s__Arthrobacter_sp000374905--RS_GCF_019977275.1,4,3,12,12,100.0,2685.5,2410.0,2919.8
s__Arthrobacter_sp001424565--RS_GCF_001424565.1,4,3,12,0,0.0,,,
s__Arthrobacter_sp001969265--RS_GCF_001969265.1,4,5,20,20,100.0,1495.5,422.0,1455.1
s__Arthrobacter_sp002427975--GB_GCA_002427975.1,4,3,12,0,0.0,,,
s__Arthrobacter_sp002929755--RS_GCF_006517235.1,4,3,12,12,100.0,2671.5,431.0,1937.8
