species_id,has_phytase,has_siderophore,has_both,family,genus,phylum
s__Chryseobacterium_binzhouense--RS_GCF_007474545.1,0,1,0,f__Weeksellaceae,g__Chryseobacterium,p__Bacteroidota
s__Methylacidiphilum_sp004421255--RS_GCF_017310505.1,0,0,0,f__Methylacidiphilaceae,g__Methylacidiphilum,p__Verrucomicrobiota
s__PALSA-1003_sp005883655--GB_GCA_005883655.1,0,0,0,f__Casimicrobiaceae,g__PALSA-1003,p__Pseudomonadota
s__JAJZYW01_sp023485545--GB_GCA_023485545.1,1,0,0,f__Micrarchaeaceae,g__JAJZYW01,p__Micrarchaeota
s__Acidithiobacillus_ferrianus--RS_GCF_010378095.1,0,0,0,f__Acidithiobacillaceae,g__Acidithiobacillus,p__Pseudomonadota
s__PWVN01_sp007136165--GB_GCA_007136165.1,0,0,0,f__PWVN01,g__PWVN01,p__Bacillota_D
s__Streptomyces_sp001905885--RS_GCF_001905885.1,0,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__Pseudacidovorax_intermedius_A--RS_GCF_001476815.1,0,1,0,f__Burkholderiaceae_B,g__Pseudacidovorax,p__Pseudomonadota
s__JAKASW01_sp023381615--GB_GCA_023381615.1,0,0,0,f__JAKASW01,g__JAKASW01,p__Bacteroidota
s__SLCP01_sp007125735--GB_GCA_007125735.1,0,0,0,f__SLCP01,g__SLCP01,p__Actinomycetota
s__Rhodoferax_sp012927445--GB_GCA_012927445.1,0,0,0,f__Burkholderiaceae_B,g__Rhodoferax,p__Pseudomonadota
s__SKLG01_sp007123335--GB_GCA_007123335.1,0,0,0,f__UBA1429,g__SKLG01,p__Chloroflexota
s__Pseudoxanthomonas_daejeonensis--RS_GCF_010093205.1,1,0,0,f__Xanthomonadaceae,g__Pseudoxanthomonas,p__Pseudomonadota
s__SLHA01_sp007136405--GB_GCA_007136405.1,0,0,0,f__UBA8231,g__SLHA01,p__Latescibacterota
s__Fen-1039_sp003141955--GB_GCA_003141955.1,0,0,0,f__CSP1-4,g__Fen-1039,p__Chloroflexota
s__Nitrospira_A_sp014055465--GB_GCA_014055465.1,0,0,0,f__Nitrospiraceae,g__Nitrospira_A,p__Nitrospirota
s__ZC4RG25_sp002919265--GB_GCA_002919265.1,0,0,0,f__Hyphomicrobiaceae,g__ZC4RG25,p__Pseudomonadota
s__JAMCYM01_sp023473665--GB_GCA_023473665.1,0,0,0,f__Micrarchaeaceae,g__JAMCYM01,p__Micrarchaeota
s__Chryseobacterium_scophthalmum--RS_GCF_900143185.1,0,0,0,f__Weeksellaceae,g__Chryseobacterium,p__Bacteroidota
s__Staphylococcus_edaphicus--RS_GCF_002614725.1,0,0,0,f__Staphylococcaceae,g__Staphylococcus,p__Bacillota
s__Paenibacillus_G_elgii--RS_GCF_004000865.1,0,0,0,f__NBRC-103111,g__Paenibacillus_G,p__Bacillota
s__Bradyrhizobium_sp000472925--RS_GCF_000472925.1,1,0,0,f__Xanthobacteraceae,g__Bradyrhizobium,p__Pseudomonadota
s__LD21_sp003157075--GB_GCA_003157075.1,1,0,0,f__VadinHA17,g__LD21,p__Bacteroidota
s__JADFVG01_sp015222405--GB_GCA_015222405.1,0,0,0,f__E44-bin15,g__JADFVG01,p__Chloroflexota
s__Nonomuraea_longispora--RS_GCF_004348345.1,0,0,0,f__Streptosporangiaceae,g__Nonomuraea,p__Actinomycetota
s__Protistobacter_heckmanni--GB_GCA_025050535.1,0,0,0,f__Burkholderiaceae,g__Protistobacter,p__Pseudomonadota
s__Halomonas_zhaodongensis--RS_GCF_013415115.1,0,0,0,f__Halomonadaceae,g__Halomonas,p__Pseudomonadota
s__Chryseobacterium_contaminans--RS_GCF_001684955.1,0,0,0,f__Weeksellaceae,g__Chryseobacterium,p__Bacteroidota
s__JACZWU01_sp022564135--GB_GCA_022564135.1,0,0,0,f__FEB-12,g__JACZWU01,p__Zixibacteria
s__Fen-1077_sp003141235--GB_GCA_003141235.1,0,0,0,f__RBG-16-60-22,g__Fen-1077,p__Chloroflexota
s__Flavobacterium_sp002399805--RS_GCF_016405855.1,1,0,0,f__Flavobacteriaceae,g__Flavobacterium,p__Bacteroidota
s__Streptomyces_sp003116725--RS_GCF_003610995.1,0,1,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__Nocardioides_kongjuensis--RS_GCF_013409625.1,0,0,0,f__Nocardioidaceae,g__Nocardioides,p__Actinomycetota
s__Hymenobacter_profundi--RS_GCF_019334315.1,0,0,0,f__Hymenobacteraceae,g__Hymenobacter,p__Bacteroidota
s__Chryseobacterium_antibioticum--RS_GCF_012927325.1,0,1,0,f__Weeksellaceae,g__Chryseobacterium,p__Bacteroidota
s__Acinetobacter_terrae--RS_GCF_013004375.1,0,0,0,f__Moraxellaceae,g__Acinetobacter,p__Pseudomonadota
s__Bacillus_A_cereus_AQ--RS_GCF_002567495.1,0,1,0,f__Bacillaceae_G,g__Bacillus_A,p__Bacillota
s__Vibrio_plantisponsor--RS_GCF_013041605.1,0,0,0,f__Vibrionaceae,g__Vibrio,p__Pseudomonadota
s__Mycobacterium_parafortuitum--RS_GCF_002086815.1,0,0,0,f__Mycobacteriaceae,g__Mycobacterium,p__Actinomycetota
s__B68-G9_sp003645885--GB_GCA_003645885.1,0,0,0,f__B68-G9,g__B68-G9,p__Latescibacterota
s__Pseudoduganella_flava--RS_GCF_007830495.1,0,0,0,f__Burkholderiaceae,g__Pseudoduganella,p__Pseudomonadota
s__UBA582_sp021818765--GB_GCA_021818765.1,1,0,0,f__Thermoplasmataceae,g__UBA582,p__Thermoplasmatota
s__Palsa-343_sp003152415--GB_GCA_003152415.1,0,0,0,f__Acidobacteriaceae,g__Palsa-343,p__Acidobacteriota
s__Palsa-465_sp003165655--GB_GCA_003165655.1,1,0,0,f__Solirubrobacteraceae,g__Palsa-465,p__Actinomycetota
s__SLJK01_sp007135125--GB_GCA_007135125.1,0,0,0,f__UBA8154,g__SLJK01,p__Bacillota_D
s__Cohnella_laeviribosi--RS_GCF_000378425.1,0,0,0,f__Paenibacillaceae,g__Cohnella,p__Bacillota
s__Flavihumibacter_sp018993145--RS_GCF_021491375.1,1,0,0,f__Chitinophagaceae,g__Flavihumibacter,p__Bacteroidota
s__Acidisoma_sp009765865--RS_GCF_009765865.1,1,0,0,f__Acetobacteraceae,g__Acidisoma,p__Pseudomonadota
s__Cereibacter_A_sp002407205--RS_GCF_002407205.1,0,0,0,f__Rhodobacteraceae,g__Cereibacter_A,p__Pseudomonadota
s__Methylobacterium_thuringiense--RS_GCF_022179645.1,1,0,0,f__Beijerinckiaceae,g__Methylobacterium,p__Pseudomonadota
s__RAAP-2_sp003133125--GB_GCA_003133125.1,0,0,0,f__RAAP-2,g__RAAP-2,p__Actinomycetota
s__JAJYOJ01_sp021796235--GB_GCA_021796235.1,0,0,0,f__GWC2-37-13,g__JAJYOJ01,p__Patescibacteria
s__UBA12178_sp003641795--GB_GCA_003641795.1,0,0,0,f__UBA12178,g__UBA12178,p__Thermotogota
s__Methanoculleus_sp016841955--GB_GCA_016841955.1,0,0,0,f__Methanoculleaceae,g__Methanoculleus,p__Halobacteriota
s__SLAA01_sp007127105--GB_GCA_007127105.1,0,0,0,f__SLAA01,g__SLAA01,p__Spirochaetota
s__CALVJY01_sp944332455--GB_GCA_944332455.1,0,0,0,f__HGM11417,g__CALVJY01,p__Bacillota_A
s__SLMJ01_sp007124395--GB_GCA_007124395.1,0,0,0,f__Thermomicrobiaceae,g__SLMJ01,p__Chloroflexota
s__Microbulbifer_sp021290385--RS_GCF_021290385.1,0,0,0,f__Cellvibrionaceae,g__Microbulbifer,p__Pseudomonadota
s__B14-G17_sp003649515--GB_GCA_003649515.1,0,0,0,f__B20-G17,g__B14-G17,p__Thermoproteota
s__Methyloprofundus_sp014859465--GB_GCA_014859465.1,0,0,0,f__Methylomonadaceae,g__Methyloprofundus,p__Pseudomonadota
s__40CM-2-53-6_sp001919285--GB_GCA_001919285.1,1,0,0,f__40CM-2-53-6,g__40CM-2-53-6,p__Thermoproteota
s__Burkholderia_thailandensis--RS_GCF_000012365.1,0,0,0,f__Burkholderiaceae,g__Burkholderia,p__Pseudomonadota
s__Shewanella_sp019457615--RS_GCF_019457615.1,0,0,0,f__Shewanellaceae,g__Shewanella,p__Pseudomonadota
s__Achromobacter_kerstersii--RS_GCF_902859595.1,1,0,0,f__Burkholderiaceae_C,g__Achromobacter,p__Pseudomonadota
s__40CM-4-65-16_sp005887685--GB_GCA_005887685.1,1,0,0,f__Dormibacteraceae,g__40CM-4-65-16,p__Dormibacterota
s__PWUC01_sp003566675--GB_GCA_003566675.1,1,0,0,f__PUMD01,g__PWUC01,p__Bacillota_E
s__B47-G16_sp003648815--GB_GCA_003648815.1,0,0,0,f__AE-B3A,g__B47-G16,p__Aerophobota
s__Xylophilus_sp913776965--GB_GCA_913776965.1,1,0,0,f__Burkholderiaceae_B,g__Xylophilus,p__Pseudomonadota
s__Halioglobus_sp024234735--GB_GCA_024234735.1,1,0,0,f__Halieaceae,g__Halioglobus,p__Pseudomonadota
s__Arenimonas_maotaiensis--RS_GCF_014638745.1,0,0,0,f__Xanthomonadaceae,g__Arenimonas,p__Pseudomonadota
s__T1Sed10-7_sp007131525--GB_GCA_007131525.1,0,0,0,f__Nitriliruptoraceae,g__T1Sed10-7,p__Actinomycetota
s__Clostridium_B_ragsdalei--RS_GCF_001675165.1,1,0,0,f__Clostridiaceae,g__Clostridium_B,p__Bacillota_A
s__Leptospira_B_wolffii--RS_GCF_000306115.2,0,0,0,f__Leptospiraceae,g__Leptospira_B,p__Spirochaetota
s__JAJYEA01_sp021809545--GB_GCA_021809545.1,1,0,0,f__UBA184,g__JAJYEA01,p__Thermoplasmatota
s__Pseudomonas_E_wadenswilerensis--RS_GCF_900497695.1,0,1,0,f__Pseudomonadaceae,g__Pseudomonas_E,p__Pseudomonadota
s__Pontibacter_akesuensis--RS_GCF_001611675.1,0,0,0,f__Hymenobacteraceae,g__Pontibacter,p__Bacteroidota
s__Sulfotelmatobacter_sp003131635--GB_GCA_003131635.1,0,0,0,f__SbA1,g__Sulfotelmatobacter,p__Acidobacteriota
s__JAHBZM01_sp019635415--GB_GCA_019635415.1,0,0,0,f__Burkholderiaceae_B,g__JAHBZM01,p__Pseudomonadota
s__JACKNG01_sp024235015--GB_GCA_024235015.1,0,0,0,f__Ga0077536,g__JACKNG01,p__Pseudomonadota
s__UBA10450_sp003445855--GB_GCA_003445855.1,0,0,0,f__UBA10450,g__UBA10450,p__Verrucomicrobiota
s__Paenarthrobacter_nitroguajacolicus--GB_GCA_001313365.1,0,1,0,f__Micrococcaceae,g__Paenarthrobacter,p__Actinomycetota
s__UBA12068_sp000991645--GB_GCA_000991645.1,0,0,0,f__GWC2-37-73,g__UBA12068,p__Patescibacteria
s__Luteimonas_D_sp016615955--RS_GCF_016615955.1,0,0,0,f__Xanthomonadaceae,g__Luteimonas_D,p__Pseudomonadota
s__Streptomyces_sp003947455--RS_GCF_003947455.1,1,1,1,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__Vibrio_sp018223135--RS_GCF_021728395.1,0,1,0,f__Vibrionaceae,g__Vibrio,p__Pseudomonadota
s__Flavobacterium_haoranii--RS_GCF_009363055.1,0,0,0,f__Flavobacteriaceae,g__Flavobacterium,p__Bacteroidota
s__Rhizobium_sp002277895--RS_GCF_002277895.1,1,0,0,f__Rhizobiaceae,g__Rhizobium,p__Pseudomonadota
s__JAKAAX01_sp021802125--GB_GCA_021802125.1,1,0,0,f__UBA184,g__JAKAAX01,p__Thermoplasmatota
s__UBA3465_sp020440935--GB_GCA_020440935.1,0,0,0,f__Leptonemataceae,g__UBA3465,p__Spirochaetota
s__Phyllobacterium_myrsinacearum--RS_GCF_002980555.1,1,0,0,f__Rhizobiaceae,g__Phyllobacterium,p__Pseudomonadota
s__JAENYX01_sp016841565--GB_GCA_016841565.1,0,0,0,f__Ch29,g__JAENYX01,p__Bacillota_A
s__Aminobacter_niigataensis--RS_GCF_014200015.1,1,0,0,f__Rhizobiaceae,g__Aminobacter,p__Pseudomonadota
s__Pseudomonas_E_sp004136015--RS_GCF_004136015.1,1,0,0,f__Pseudomonadaceae,g__Pseudomonas_E,p__Pseudomonadota
s__Nocardia_coubleae--RS_GCF_001612805.1,1,0,0,f__Mycobacteriaceae,g__Nocardia,p__Actinomycetota
s__RAAP-2_sp003167415--GB_GCA_003167415.1,0,0,0,f__RAAP-2,g__RAAP-2,p__Actinomycetota
s__JAIPHX01_sp021824345--GB_GCA_021824345.1,0,0,0,f__UBA9973,g__JAIPHX01,p__Patescibacteria
s__Arenimonas_composti--RS_GCF_000426365.1,0,0,0,f__Xanthomonadaceae,g__Arenimonas,p__Pseudomonadota
s__Chryseobacterium_daecheongense--RS_GCF_003729955.1,0,0,0,f__Weeksellaceae,g__Chryseobacterium,p__Bacteroidota
s__Pedobacter_chitinilyticus--RS_GCF_003313385.1,0,0,0,f__Sphingobacteriaceae,g__Pedobacter,p__Bacteroidota
s__Nocardia_cyriacigeorgica_D--RS_GCF_010868145.1,1,0,0,f__Mycobacteriaceae,g__Nocardia,p__Actinomycetota
s__Nocardioides_sp013815725--RS_GCF_023208195.1,0,0,0,f__Nocardioidaceae,g__Nocardioides,p__Actinomycetota
s__Pararhizobium_sp001426665--RS_GCF_001426665.1,1,0,0,f__Rhizobiaceae,g__Pararhizobium,p__Pseudomonadota
s__UBA3583_sp002375815--GB_GCA_022760735.1,0,0,0,f__Tissierellaceae_B,g__UBA3583,p__Bacillota_A
s__Terracidiphilus_sp003138365--GB_GCA_003138365.1,1,0,0,f__Acidobacteriaceae,g__Terracidiphilus,p__Acidobacteriota
s__Donghicola_eburneus--RS_GCF_900115865.1,0,0,0,f__Rhodobacteraceae,g__Donghicola,p__Pseudomonadota
s__RAAP-2_sp021831035--GB_GCA_021831035.1,0,0,0,f__RAAP-2,g__RAAP-2,p__Actinomycetota
s__Rhodococcus_pseudokoreensis--RS_GCF_017068395.1,0,1,0,f__Mycobacteriaceae,g__Rhodococcus,p__Actinomycetota
s__Mucilaginibacter_achroorhodeus--RS_GCF_007846095.1,1,0,0,f__Sphingobacteriaceae,g__Mucilaginibacter,p__Bacteroidota
s__Pseudomonas_F_lalkuanensis--RS_GCF_008807375.1,0,1,0,f__Pseudomonadaceae,g__Pseudomonas_F,p__Pseudomonadota
s__SMXQ01_sp004356985--GB_GCA_004356985.1,0,0,0,f__SMXQ01,g__SMXQ01,p__Pseudomonadota
s__Lysinibacillus_boronitolerans--RS_GCF_000772935.1,1,0,0,f__Planococcaceae,g__Lysinibacillus,p__Bacillota
s__Streptomyces_parvulus--RS_GCF_014648855.1,0,1,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__JAJYCY01_sp021790335--GB_GCA_021790335.1,0,0,0,f__UBA6901,g__JAJYCY01,p__Pseudomonadota
s__Nesterenkonia_aurantiaca--RS_GCF_004364585.1,0,0,0,f__Micrococcaceae,g__Nesterenkonia,p__Actinomycetota
s__JAMCYM01_sp021828155--GB_GCA_021828155.1,0,0,0,f__Micrarchaeaceae,g__JAMCYM01,p__Micrarchaeota
s__Planococcus_halocryophilus--RS_GCF_001687585.2,0,0,0,f__Planococcaceae,g__Planococcus,p__Bacillota
s__Pseudomonas_E_alvandae--RS_GCF_019141525.1,0,1,0,f__Pseudomonadaceae,g__Pseudomonas_E,p__Pseudomonadota
s__Streptomyces_sp020982545--RS_GCF_020982545.1,0,0,0,f__Streptomycetaceae,g__Streptomyces,p__Actinomycetota
s__JAKAQV01_sp021810245--GB_GCA_021810245.1,1,0,0,f__UBA9628,g__JAKAQV01,p__Elusimicrobiota
s__Rhodococcus_sp001040705--RS_GCF_001040705.1,1,0,0,f__Mycobacteriaceae,g__Rhodococcus,p__Actinomycetota
s__Novosphingobium_sp024236215--GB_GCA_024236215.1,0,0,0,f__Sphingomonadaceae,g__Novosphingobium,p__Pseudomonadota
s__Amycolatopsis_tucumanensis--RS_GCF_021654135.1,0,0,0,f__Pseudonocardiaceae,g__Amycolatopsis,p__Actinomycetota
s__Dokdonella_A_fugitiva_A--RS_GCF_014138265.1,0,0,0,f__Rhodanobacteraceae,g__Dokdonella_A,p__Pseudomonadota
s__SZUA-117_sp004357475--GB_GCA_004357475.1,1,0,0,f__Woeseiaceae,g__SZUA-117,p__Pseudomonadota
s__RAAP-2_sp003136495--GB_GCA_003136495.1,0,0,0,f__RAAP-2,g__RAAP-2,p__Actinomycetota
s__Nocardia_alba--RS_GCF_001612665.1,1,0,0,f__Mycobacteriaceae,g__Nocardia,p__Actinomycetota
s__JAAEEP01_sp013415695--GB_GCA_013415695.1,0,0,0,f__JAAEEP01,g__JAAEEP01,p__Thermoplasmatota
s__JACWAO01_sp021839365--GB_GCA_021839365.1,0,0,0,f__Colwellbacteraceae,g__JACWAO01,p__Patescibacteria
s__Nocardioides_dongxiaopingii--RS_GCF_005954645.2,0,0,0,f__Nocardioidaceae,g__Nocardioides,p__Actinomycetota
s__UBA12151_sp000990585--GB_GCA_000990585.1,0,0,0,f__UBA9337,g__UBA12151,p__Patescibacteria
s__Pseudomonas_E_sp001421885--RS_GCF_001421885.1,0,0,0,f__Pseudomonadaceae,g__Pseudomonas_E,p__Pseudomonadota
s__Neorhizobium_tomejilense--GB_GCA_002968845.1,0,1,0,f__Rhizobiaceae,g__Neorhizobium,p__Pseudomonadota
s__Udaeobacter_sp003218615--GB_GCA_003218615.1,0,0,0,f__UBA10450,g__Udaeobacter,p__Verrucomicrobiota
s__JACJXU01_sp020636475--GB_GCA_020636475.1,0,0,0,f__UBA2359,g__JACJXU01,p__Bacteroidota
s__Deinococcus_murrayi--RS_GCF_000482805.1,0,0,0,f__Deinococcaceae,g__Deinococcus,p__Deinococcota
s__AC-37_sp005885165--GB_GCA_005885165.1,0,0,0,f__Thermoleophilaceae,g__AC-37,p__Actinomycetota
s__Terracidiphilus_sp003165005--GB_GCA_003165005.1,1,0,0,f__Acidobacteriaceae,g__Terracidiphilus,p__Acidobacteriota
